FGA富光真空壶,FZ6003-420T,件(30只),,37.1,真空事业部
FGA富光真空旅行壶,FZ6004-1200,件(12只),,73.2,真空事业部
FGA富光真空旅行壶,FZ6004-1500,件(12只),,76.4,真空事业部
健牌玻璃杯中号,700-280,件(40只),560×350×220,7.9,玻璃事业部
FGA富光真空旅行壶,FZ6004-1800,件(12只),,80.6,真空事业部
FGA富光真空生态壶,FZ6005-600,件(8只),,86,真空事业部
FGA富光真空学生壶,FZ6006-500,件(20只),,45,真空事业部
FGA富光真空学生壶,FZ6006-650,件(20只),,47,真空事业部
FGA富光真空旅行壶,FZ6007-1000,件(12只),,60,真空事业部
FGA富光真空旅行壶,FZ6007-1500,件(12只),,70.6,真空事业部
FGA富光真空旅行壶,FZ6007-1800,件(12只),,75,真空事业部
FGA富光真空旅行壶,FZ6007-750,件(12只),,55.6,真空事业部
FGA富光真空多用壶,FZ6008-1500,件(8只),,75,真空事业部
FGA富光真空子弹头杯,FZ6009-480,件(30只),,40.6,真空事业部
健牌玻璃杯小号,700-200,件(40只),485×310×190,7,玻璃事业部
FGA富光真空子弹头杯,FZ6009-600,件(30只),,42.8,真空事业部
FGA富光真空多用壶,FZ6010-1500,件(8只),,68,真空事业部
FGA富光真空焖烧壶,FZ6011-750,件(20只),,58.8,真空事业部
FGA富光真空吸管杯,FZ6012-340,件(30只),,36.6,真空事业部
FGA富光真空旅行壶,FZ6014-750,件(12只),,45,真空事业部
FGA富光真空旅行壶,FZ6014-1000,件(12只),,48,真空事业部
FGA富光真空旅行壶,FZ6014-1500,件(12只),,58.8,真空事业部
FGA富光真空旅行壶,FZ6014-1800,件(12只),,62.8,真空事业部
FGA富光真空子弹头杯,FZ6016-350T,件(30只),,25,真空事业部
FGA富光真空子弹头杯,FZ6016-500T,件(30只),,26.8,真空事业部
健牌玻璃办公杯中号,700B-320,件(20只),435×415×180,10.5,玻璃事业部
FGA富光双层生态杯,FZ8001-280,件(24只),,29.7,真空事业部
FGA富光双层生态杯,FZ8001-380,件(24只),,31.8,真空事业部
FGA富光双层生态办公杯,FZ8001-400B,件(20只),,40.3,真空事业部
FGA富光双层生态杯,FZ8006-220,件(20只),,30,真空事业部
FGA富光双层生态杯,FZ8006-280,件(20只),,32,真空事业部
FGA富光双层生态办公杯,FZ8006-420B,件(16只),,42.8,真空事业部
FGA富光E动生态杯,FZ8007-400,件(30只),,49.2,真空事业部
FGA富光双层生态办公杯,FZ8008-420B,件(16只),,49.2,真空事业部
FGA富光双层生态杯,FZ8009-280,件(30只),,23.6,真空事业部
FGA富光双层生态办公杯,FZ8009-400B,件(20只),,29.6,真空事业部
